country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Angola, AGO, Africa, 32866268, cases, 1564, 2020-43, 8.459000, 9026
Angola, AGO, Africa, 32866268, deaths, 26, 2020-43, 1.491000, 267
Australia, AUS, Oceania, 25499881, cases, 609, 2020-36, 5.753000, 26279
Australia, AUS, Oceania, 25499881, deaths, 142, 2020-36, 9.843000, 753
Austria, AUT, Europe, 8901064, cases, 22794, 2020-49, 616.241000, 300976
Austria, AUT, Europe, 8901064, deaths, 828, 2020-49, 172.227000, 3732
Brazil, BRA, America, 212559409, cases, 455887, 2021-15, 451.683000, 13973695
Brazil, BRA, America, 212559409, deaths, 20065, 2021-15, 197.262000, 374682
China, CHN, Asia, 1439323774, cases, 6616, 2020- 8, 2.573000, 77234
China, CHN, Asia, 1439323774, deaths, 824, 2020- 8, 1.171000, 2595
France, FRA, Europe, 67320216, cases, 24925, 2020-15, 82.039000, 95403
France, FRA, Europe, 67320216, deaths, 6315, 2020-15, 175.089000, 14393
Portugal, PRT, Europe, 10295909, cases, 83208, 2021- 4, 1649.374000, 726321
Portugal, PRT, Europe, 10295909, deaths, 2036, 2021- 4, 362.183000, 12757
South Africa, ZAF, Africa, 59308690, cases, 75060, 2021- 3, 305.839000, 1412986
South Africa, ZAF, Africa, 59308690, deaths, 3769, 2021- 3, 130.015000, 40874
Thailand, THA, Asia, 69799978, cases, 359, 2020-15, 1.706000, 2579
Thailand, THA, Asia, 69799978, deaths, 14, 2020-15, 0.473000, 40
United States Of America, USA, America, 331002647, cases, 1358783, 2021- 3, 868.291000, 25297071
United States Of America, USA, America, 331002647, deaths, 23518, 2021- 3, 141.047000, 421129
